name,specification,stock,price_tier_1,,price_tier_2,,price_tier_3,,distributor_price
АКЦИЯ!!! Одноразовый смарт испаритель HELLO SYNIX 30000 затяжек [дисплей],MIAMI MINT,,1070.00,,1070.00,,1070.00,,
АКЦИЯ!!! Одноразовый смарт испаритель HELLO SYNIX 30000 затяжек [дисплей],ORANGE KISS,,1070.00,,1070.00,,1070.00,,
АКЦИЯ!!! Одноразовый смарт испаритель HELLO SYNIX 30000 затяжек [дисплей],SPEARMINT,,1070.00,,1070.00,,1070.00,,
АКЦИЯ!!! ОЭСДН MAX FLY 46000 затяжек [BLUETOOTH гарнитура],МАЙАМИ МЯТА,,790,,790,,790,,
АКЦИЯ!!! ОЭСДН MAX FLY 46000 затяжек [BLUETOOTH гарнитура],МАНГО ЛЕД,,790,,790,,790,,
АКЦИЯ!!! ОЭСДН RELX WAKA KA 25000 затяжек [экран],AQUA ICE,,750,,750,,750,,
АКЦИЯ!!! ОЭСДН RELX WAKA KA 25000 затяжек [экран],MENTHOL,,750,,750,,750,,
АКЦИЯ!!! ОЭСДН RELX WAKA SOPRO PA 10000 ЦВЕТНАЯ 5%,MENTHOL,,750,,750,,750,,
АКЦИЯ!!! ОЭСДН RELX WAKA SOPRO PA 10000 ЦВЕТНАЯ 5%,SPEARMINT,,750,,750,,750,,
АКЦИЯ!!! ОЭСДН SNOOPYSMOKE PRO 50000,ЛЕДЯНАЯ МЯТА,,370,,370,,370,,
АКЦИЯ!!! ОЭСДН VOOM BURST 18000 затяжек 67мг [дисплей],ДВОЙНОЕ ЯБЛОКО,,350,,350,,350,,
АКЦИЯ!!! ОЭСДН VOOM BURST 18000 затяжек 67мг [дисплей],КИВИ МАРАКУЙЯ ГУАВА,,350,,350,,350,,
АКЦИЯ!!! ОЭСДН VOOM BURST 18000 затяжек 67мг [дисплей],КЛУБНИКА АРБУЗ,,350,,350,,350,,
АКЦИЯ!!! ОЭСДН VOOM BURST 18000 затяжек 67мг [дисплей],КЛУБНИКА КИВИ,,350,,350,,350,,
АКЦИЯ!!! ОЭСДН VOOM BURST 18000 затяжек 67мг [дисплей],КЛУБНИКА ЛЁД,,350,,350,,350,,
АКЦИЯ!!! ОЭСДН VOOM BURST 18000 затяжек 67мг [дисплей],КЛУБНИКА МАНГО,,350,,350,,350,,
АКЦИЯ!!! ОЭСДН VOOM BURST 18000 затяжек 67мг [дисплей],МАНГО ЛЁД,,350,,350,,350,,
Батарейка LG 18650 HE2 [2500 mAh],КРАСНЫЙ,,340,,330,,320,,
Батарейка LG 18650 HE4 [2500mah],ЖЁЛТЫЙ,,360,,350,,340,,
Батарейка LG 18650 HG2 [3000mah],КОРИЧНЕВЫЙ,,470,,460,,450,,
Батарейка SAMSUNG 21700 30T [3000mah],СЕРЫЙ,,535,,525,,515,,
НИКОБУСТЕР [2%],2%,,25,,23,,25,,19
Жидкость BJORN JOKER [30ML 20MG EXTRA HARD],1 - ХАЛАПЕНЬО ЛАЙМ,,250,,240,,230,,210
Жидкость BJORN JOKER [30ML 20MG EXTRA HARD],18 - ГУАВА АНАНАС,,250,,240,,230,,210
Жидкость BJORN JOKER [30ML 20MG HARD],1 - ГУАВА АНАНАС,,240,,230,,220,,200
Жидкость BJORN JOKER [30ML 20MG HARD],11 - ЛИМОН ЛАЙМ,,240,,230,,220,,200
Жидкость BJORN JOKER [30ML 20MG HARD],2 - ХАЛАПЕНЬО ЛАЙМ,,240,,230,,220,,200
Жидкость BJORN JOKER [30ML 20MG SOFT],1 - ЧЕРНИКА МЯТА,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],10 - ХАЛАПЕНЬО ЛАЙМ,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],11 - ЛИМОН ЛАЙМ,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],12 - ЗЕЛЕНОЕ ЯБЛОКО ГРУША,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],13 - ЭНЕРГЕТИК,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],14 - ВИНОГРАД ЧЕРНАЯ СМОРОДИНА,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],15 - МАНГО АНАНАС,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],16 - КОЛА СО ЛЬДОМ,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],17 - ГУАВА АНАНАС,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],18 - ВИШНЯ КЛЮКВА,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],19 - ВИНОГРАД ЯГОДЫ,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],2 - АРБУЗ ДЫНЯ,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],20 - КЛУБНИКА БАНАН,,230,,220,,210,,190
Жидкость BJORN JOKER [30ML 20MG SOFT],21 - КИВИ КЛУБНИКА,,230,,220,,210,,190
